"Proposed page title","URL","Primary target keyword","Secondary keyword themes","Search intent","Funnel stage","Parent topic/pillar","Pages it should link to","Pages that should link to it","Primary IRN service/conversion goal","Priority","Current status","Cannibalisation risk","Notes","Phase","Page type","Cluster","Publication status","Last updated","Internal links completed","Schema completed","Search Console impressions","Search Console clicks","Average position","CTR","Notes/actions","Live title","Live meta description","Live canonical","Live robots","Live H1","Live schema types","Hero image status","Supporting image status","Image brief status","ALT text status","OG image status"
"Online Addiction Support vs Residential Rehab: Which Is More Effective?","/resources/online-addiction-support-vs-residential-rehab","online addiction support vs residential rehab uk: which is right?","online recovery signs; risks; support; treatment options","Commercial investigation","Consideration","Online recovery","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment or suitable support enquiry","P2","Existing","Low","No blocking metadata or status issue in the 28 August 2026 live crawl.","Existing inventory","Resource article","Online recovery","Live","","Partial / present","Yes / present","","","","","Monitor and refresh according to content risk and performance.","Online Addiction Support vs Residential Rehab UK: Which Is Right?","Online addiction support or residential rehab? A clinically informed UK guide to choosing the right level of care based on risk, fit, and recovery needs.","https://www.insightrecoverynetwork.com/resources/online-addiction-support-vs-residential-rehab","index, follow","Online Addiction Support vs Residential Rehab: Which Is More Effective?","ProfessionalService, PostalAddress, ContactPoint, WebSite, Article, Person, Organization, ImageObject, WebPage, FAQPage, Question, Answer, BreadcrumbList, ListItem, Country","","","","",""
"Why Willpower Is Not a Recovery Plan","/resources/why-willpower-is-not-a-recovery-plan","why willpower is not a recovery plan","relapse prevention signs; risks; support; treatment options","Informational","Awareness","Relapse prevention","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment or suitable support enquiry","P2","Existing","Low","Title is 68 characters; review SERP truncation and keyword focus.","Existing inventory","Resource article","Relapse prevention","Live","","Partial / present","Yes / present","","","","","Title is 68 characters; review SERP truncation and keyword focus.","Why Willpower Is Not a Recovery Plan | Addiction Recovery Support UK","Willpower alone is rarely enough for lasting addiction recovery. Learn why structure, support, relapse prevention planning and emotional regulation matter.","https://www.insightrecoverynetwork.com/resources/why-willpower-is-not-a-recovery-plan","index, follow","Why Willpower Is Not a Recovery Plan","ProfessionalService, PostalAddress, ContactPoint, WebSite, Article, Person, Organization, ImageObject, WebPage, BreadcrumbList, ListItem, Country","","","","",""
"Alcohol Addiction Treatment UK","/alcohol-addiction-treatment","alcohol addiction treatment","alcohol treatment UK; alcohol rehab; alcohol recovery support; alcohol detox assessment","Transactional","Decision","/resources/understanding-alcohol-dependency","/resources/understanding-alcohol-dependency; /resources/addiction-detox-uk; /assessments/alcohol-detox; /private-rehab-uk; /online-programme","Alcohol pillar; detox pillar; alcohol assessment; treatment hub","Alcohol treatment enquiry","P1","New","High","First batch. Commercial selection page; avoid duplicating the dependency pillar or claiming IRN provides detox.","Phase 1","Commercial treatment page","Alcohol","Implemented - awaiting deployment","2026-08-28","Yes","Yes","","","","","First batch. Commercial selection page; avoid duplicating the dependency pillar or claiming IRN provides detox.","","","","","","","","","","",""
"Cocaine Addiction Treatment UK","/cocaine-addiction-treatment","cocaine addiction treatment","cocaine rehab UK; cocaine recovery programme; cocaine therapy; cocaine assessment","Transactional","Decision","/resources/cocaine-addiction","/resources/cocaine-addiction; /assessments/drug-use; /online-programme; /private-rehab-uk","Cocaine pillar; drug assessment; treatment hub; rehab pages","Cocaine treatment enquiry","P1","New","Medium","First batch. Emphasise assessment, psychosocial treatment, severity and setting choice rather than duplicating signs/risks.","Phase 1","Commercial treatment page","Cocaine","Implemented - awaiting deployment","2026-08-28","Yes","Yes","","","","","First batch. Emphasise assessment, psychosocial treatment, severity and setting choice rather than duplicating signs/risks.","","","","","","","","","","",""
"Cannabis Addiction Treatment UK","/cannabis-addiction-treatment","cannabis addiction treatment","cannabis dependence treatment; cannabis rehab; online cannabis recovery; cannabis assessment","Transactional","Decision","/resources/cannabis-addiction","/resources/cannabis-addiction; /assessments/drug-use; /online-programme; /private-rehab-uk","Cannabis pillar; drug assessment; treatment hub","Cannabis treatment enquiry","P1","New","Medium","First batch. Explain when online/community care may fit and when mental-health complexity may require specialist care.","Phase 1","Commercial treatment page","Cannabis","Implemented - awaiting deployment","2026-08-28","Yes","Yes","","","","","First batch. Explain when online/community care may fit and when mental-health complexity may require specialist care.","","","","","","","","","","",""
"Ketamine Addiction Treatment UK","/ketamine-addiction-treatment","ketamine addiction treatment","ketamine rehab UK; ketamine bladder treatment pathway; ketamine recovery support","Transactional","Decision","/resources/ketamine-addiction","/resources/ketamine-addiction; /assessments/drug-use; /private-rehab-uk; /online-programme","Ketamine pillar; drug assessment; treatment hub","Ketamine treatment enquiry","P1","New","Medium","First batch. Separate addiction support from urgent medical/urology assessment and do not imply IRN treats bladder injury.","Phase 1","Commercial treatment page","Ketamine","Implemented - awaiting deployment","2026-08-28","Yes","Yes","","","","","First batch. Separate addiction support from urgent medical/urology assessment and do not imply IRN treats bladder injury.","","","","","","","","","","",""
"Benzodiazepine Addiction and Dependence Treatment UK","/benzodiazepine-addiction-treatment","benzodiazepine addiction treatment","benzodiazepine dependence treatment; benzo rehab; prescribed medicine withdrawal support","Transactional","Decision","/resources/benzodiazepine-addiction","/resources/benzodiazepine-addiction; /assessments/detox; /treatment-placement; /private-rehab-uk","Benzodiazepine pillar; detox assessment; treatment hub","Medical-provider navigation and treatment enquiry","P1","New","High","First batch. No taper schedules or prescribing claims; withdrawal planning remains with qualified prescribers/providers.","Phase 1","Commercial treatment page","Benzodiazepines","Implemented - awaiting deployment","2026-08-28","Yes","Yes","","","","","First batch. No taper schedules or prescribing claims; withdrawal planning remains with qualified prescribers/providers.","","","","","","","","","","",""
"Dual Diagnosis Treatment UK","/dual-diagnosis-treatment","dual diagnosis treatment","mental health and addiction treatment; co-occurring disorders treatment; dual diagnosis rehab","Transactional","Decision","/resources/dual-diagnosis","/resources/dual-diagnosis; /resources/mental-health-and-addiction; /assessments; /private-rehab-uk","Dual-diagnosis pillars; assessment hub; treatment hub","Integrated-treatment placement enquiry","P1","New","Medium","First batch. Focus on integrated assessment and provider capability; do not diagnose readers.","Phase 1","Commercial treatment page","Dual diagnosis","Implemented - awaiting deployment","2026-08-28","Yes","Yes","","","","","First batch. Focus on integrated assessment and provider capability; do not diagnose readers.","","","","","","","","","","",""
"Opioid Addiction Treatment UK","/opioid-addiction-treatment","opioid addiction treatment","heroin treatment UK; prescription opioid dependence; opioid detox; residential rehab","Transactional","Decision","Future opioid authority pillar","/resources/opioid-addiction; /resources/opioid-detox; /assessments/detox; /treatment-placement","Future opioid pillar; detox cluster; treatment hub","Medical-provider navigation and treatment enquiry","P2","New","High","Publish only after the opioid authority pillar and named clinical review are ready.","Phase 1","Commercial treatment page","Opioids","Planned","","No","No","","","","","Publish only after the opioid authority pillar and named clinical review are ready.","","","","","","","","","","",""
"Prescription Drug Addiction Treatment UK","/prescription-drug-addiction-treatment","prescription drug addiction treatment","painkiller dependence; gabapentinoid dependence; Z-drug dependence; prescription medication withdrawal","Transactional","Decision","/resources/prescription-drug-addiction","/resources/prescription-drug-addiction; /resources/benzodiazepine-withdrawal; /resources/opioid-detox; /assessments/detox","Prescription-drug pillar; withdrawal guides; treatment hub","Medical-provider navigation and treatment enquiry","P2","New","High","The authority pillar is live in origin/main. Commercial publication still requires careful medicine-specific scope and clinical review; no individual withdrawal advice.","Phase 1","Commercial treatment page","Prescription drugs","Planned","2026-08-28","No","No","","","","","Assess query and enquiry evidence after the authority and withdrawal pages are indexed.","","","","","","","","","","",""
"Trauma and Addiction Treatment UK","/addiction-trauma-treatment","trauma and addiction treatment","trauma-informed addiction treatment; PTSD and addiction; dual diagnosis rehab","Transactional","Decision","Future trauma authority pillar","/resources/trauma-and-addiction; /dual-diagnosis-treatment; /treatment-placement","Future trauma pillar; dual-diagnosis pages; treatment hub","Suitable-provider placement enquiry","P2","New","Medium","Publish after authority content defines trauma-informed care and avoids implying every client needs trauma processing.","Phase 1","Commercial treatment page","Trauma","Planned","","No","No","","","","","Publish after authority content defines trauma-informed care and avoids implying every client needs trauma processing.","","","","","","","","","","",""
"ADHD and Addiction Treatment UK","/addiction-adhd-treatment","ADHD and addiction treatment","ADHD substance misuse; impulsivity and addiction; integrated ADHD addiction care","Transactional","Decision","Future ADHD authority pillar","/resources/adhd-and-addiction; /assessments/adhd-impulsivity; /dual-diagnosis-treatment","Future ADHD pillar; ADHD assessment; treatment hub","Integrated-treatment enquiry","P2","New","High","Requires diagnostic boundary, medication nuance and specialist clinical review.","Phase 1","Commercial treatment page","ADHD","Planned","","No","No","","","","","Requires diagnostic boundary, medication nuance and specialist clinical review.","","","","","","","","","","",""
"Alcohol Detox: When Medical Supervision Is Needed","/resources/alcohol-detox","alcohol detox","alcohol withdrawal; medical alcohol detox; assisted withdrawal; home alcohol detox","Informational safety","Awareness","/resources/addiction-detox-uk","/resources/alcohol-withdrawal-symptoms-when-you-need-medical-help; /assessments/alcohol-detox; /alcohol-addiction-treatment","Alcohol pillar; detox hub; treatment page; assessments","Medical-provider navigation","P1","Consolidated","High","Not created. Existing /resources/alcohol-withdrawal-symptoms-when-you-need-medical-help now owns this intent, while legacy /alcohol-detox continues its established redirect to /treatment-placement.","Phase 2","Supporting resource","Alcohol detox","Superseded","2026-08-28","N/A","N/A","","","","","Avoid this duplicate route unless future query evidence proves a distinct intent and redirect history has been reviewed.","","","","","","","","","","",""
"Benzodiazepine Withdrawal and Detox: A UK Safety Guide","/resources/benzodiazepine-withdrawal","benzodiazepine withdrawal","benzo detox; taper safety; prescribed benzodiazepine dependence","Informational safety","Awareness","/resources/benzodiazepine-addiction","/benzodiazepine-addiction-treatment; /assessments/detox; /resources/addiction-detox-uk","Benzodiazepine pillar; treatment page; detox hub; resource hub","Medical-provider navigation","P1","New","High","Implemented with prescriber-led planning, emergency boundaries and no schedules, dose advice or individual taper instructions.","Phase 2","Supporting resource","Benzodiazepines","Branch-ready","2026-08-28","Yes","Yes","","","","","Deploy after final clinical/editorial sign-off and monitor withdrawal and benzo detox queries.","Benzodiazepine Withdrawal & Detox UK | IRN","Understand benzodiazepine withdrawal risk, why sudden stopping can be unsafe, what assessment covers and how prescriber-led UK support works.","https://www.insightrecoverynetwork.com/resources/benzodiazepine-withdrawal","index, follow","Benzodiazepine Withdrawal and Detox: A UK Safety Guide","ProfessionalService, WebSite, Article, Person, Organization, ImageObject, WebPage, MedicalWebPage, MedicalAudience, FAQPage, BreadcrumbList","Implemented: benzodiazepine-withdrawal-uk-hero.webp (1600x900 WebP; 76 KB)","Implemented reuse: benzodiazepine-dependence-clinical-assessment.webp after the assessment section","Complete - brief 1; supplied hero accepted","Implemented: literal hero and supporting-image ALT text","Implemented: benzodiazepine-withdrawal-uk-og.webp (1200x630; 52 KB)"
"Opioid Detox and Withdrawal: UK Treatment and Safety","/resources/opioid-detox","opioid detox UK","heroin detox; opioid withdrawal; maintenance treatment; reduced tolerance","Informational safety","Awareness","/resources/addiction-detox-uk","/assessments/detox; /treatment-placement; NHS drug services","Detox hub; treatment placement; resource hub","Medical-provider navigation","P1","New","High","Implemented as a safety and service-navigation guide using current NICE, NHS and GOV.UK sources. Explains maintenance versus detox and loss of tolerance without prescribing instructions.","Phase 2","Supporting resource","Opioids","Branch-ready","2026-08-28","Yes","Yes","","","","","Deploy after final clinical/editorial sign-off; an opioid addiction authority pillar remains a Batch 3 priority.","Opioid Detox & Withdrawal UK: Safety Guide | IRN","Understand opioid detox, withdrawal, maintenance treatment, reduced tolerance and how qualified UK services plan safe continuing care.","https://www.insightrecoverynetwork.com/resources/opioid-detox","index, follow","Opioid Detox and Withdrawal: UK Treatment and Safety","ProfessionalService, WebSite, Article, Person, Organization, ImageObject, WebPage, MedicalWebPage, MedicalAudience, FAQPage, BreadcrumbList","Blocked: supplied Opioid detox.png rejected for prominent readable fabricated service signage; current generic hero retained","New planning image still required after the maintenance-versus-detox section","Complete - brief 2; compliant replacement master required","Not resolved: current ALT overstates the generic hero; replacement ALT awaits a compliant master","Blocked: supplied asset rejected; current reused detox OG retained"
"Cocaine Withdrawal: The Crash, Risks and Support","/resources/cocaine-withdrawal","cocaine withdrawal","cocaine crash; cocaine cravings; mental health support; early recovery","Informational safety","Awareness","/resources/cocaine-addiction","/cocaine-addiction-treatment; /assessments/drug-use; /resources/addiction-detox-uk","Cocaine pillar; treatment page; detox hub; resource hub","Assessment or treatment enquiry","P1","New","Medium","Implemented with urgent mental-health signposting and non-deterministic symptom guidance; it does not present a universal timeline or medical-detox claim.","Phase 2","Supporting resource","Cocaine","Branch-ready","2026-08-28","Yes","Yes","","","","","Deploy and monitor withdrawal, crash and cravings queries separately from addiction-treatment intent.","Cocaine Withdrawal: Crash, Risks & Support | IRN","Learn what cocaine withdrawal can feel like, which mental-health signs need urgent help and how UK treatment supports recovery after the crash.","https://www.insightrecoverynetwork.com/resources/cocaine-withdrawal","index, follow","Cocaine Withdrawal: The Crash, Risks and Support","ProfessionalService, WebSite, Article, Person, Organization, ImageObject, WebPage, MedicalWebPage, MedicalAudience, FAQPage, BreadcrumbList","Implemented: cocaine-withdrawal-uk-hero.webp (1600x900 WebP; 80 KB)","New early-recovery supporting image still required; no generic substitute used","Complete - brief 3; supplied hero accepted","Hero ALT implemented literally; supporting-image ALT remains pending with its asset","Implemented: cocaine-withdrawal-uk-og.webp (1200x630; 52 KB)"
"Cannabis Withdrawal: Symptoms, Timeline and Support","/resources/cannabis-withdrawal","cannabis withdrawal","cannabis withdrawal timeline; sleep; irritability; cravings","Informational","Awareness","/resources/cannabis-addiction","/cannabis-addiction-treatment; /assessments/drug-use; /online-programme","Cannabis pillar; treatment page","Assessment or online-support enquiry","P2","New","Medium","Avoid a rigid universal timeline; address co-occurring mental health and polysubstance use.","Phase 2","Supporting resource","Cannabis","Planned","","No","No","","","","","Avoid a rigid universal timeline; address co-occurring mental health and polysubstance use.","","","","","","","","","","",""
"Ketamine Withdrawal: Symptoms, Risks and Getting Help","/resources/ketamine-withdrawal","ketamine withdrawal","ketamine cravings; stopping ketamine; psychological withdrawal; ketamine bladder","Informational safety","Awareness","/resources/ketamine-addiction","/ketamine-addiction-treatment; /assessments/drug-use; /resources/addiction-detox-uk","Ketamine pillar; treatment page; detox hub; resource hub","Assessment or treatment enquiry","P1","New","Medium","Implemented with addiction support separated from medical assessment for urinary, abdominal and other physical symptoms.","Phase 2","Supporting resource","Ketamine","Branch-ready","2026-08-28","Yes","Yes","","","","","Deploy and monitor withdrawal intent while keeping bladder and physical-harm queries connected to clinical assessment.","Ketamine Withdrawal: Symptoms & UK Support | IRN","Learn what ketamine withdrawal can feel like, when bladder or abdominal symptoms need medical care and how UK recovery support is assessed.","https://www.insightrecoverynetwork.com/resources/ketamine-withdrawal","index, follow","Ketamine Withdrawal: Symptoms, Risks and Getting Help","ProfessionalService, WebSite, Article, Person, Organization, ImageObject, WebPage, MedicalWebPage, MedicalAudience, FAQPage, BreadcrumbList","Implemented: ketamine-withdrawal-uk-hero.webp (1600x900 WebP; 88 KB)","Implemented reuse: ketamine-uropathy-integrated-assessment.webp after the assessment section","Complete - brief 4; supplied hero accepted","Implemented: literal hero and supporting-image ALT text","Implemented: ketamine-withdrawal-uk-og.webp (1200x630; 56 KB)"
"Home Detox Safety: When It Is and Is Not Appropriate","/resources/home-detox-safety","home detox","detox at home; community detox; medical supervision; alcohol home detox","Informational safety","Awareness","/resources/addiction-detox-uk","/assessments/detox; /treatment-placement; substance withdrawal pages","Detox hub; assessments; treatment pages","Medical-provider navigation","P2","Consolidated","High","Not created in Batch 2. The detox hub, alcohol guide and substance-specific guides already distinguish planned external community care from unsafe self-detoxification.","Phase 2","Supporting resource","Detox","Covered by hub","2026-08-28","N/A","N/A","","","","","Reconsider only if Search Console shows distinct home-detox intent that cannot be answered by the existing cluster.","","","","","","","","","","",""
"When Is Medical Detox Necessary?","/resources/when-medical-detox-is-needed","when is medical detox necessary","withdrawal risk; assisted withdrawal; detox assessment; inpatient detox","Informational safety","Awareness","/resources/addiction-detox-uk","/assessments/detox; /alcohol-addiction-treatment; /benzodiazepine-addiction-treatment","Detox hub; treatment pages; assessment routes","Detox assessment or provider navigation","P2","Consolidated","High","Not created in Batch 2. The detox hub and detox-vs-rehab guide already answer setting and medical-supervision decisions without diagnosing readers.","Phase 2","Supporting resource","Detox","Covered by hub","2026-08-28","N/A","N/A","","","","","Reconsider only if query evidence proves a separate intent; avoid a near-duplicate safety page.","","","","","","","","","","",""
"Detox vs Rehab: What Is the Difference?","/resources/detox-vs-rehab","detox vs rehab","detoxification and rehabilitation; treatment after detox; residential rehab","Comparison","Consideration","/resources/addiction-detox-uk","/resources/what-happens-in-residential-rehabilitation; /treatment-placement; /how-much-does-rehab-cost-uk","Detox and residential pillars; treatment hub; cost page; resource hub","Treatment placement enquiry","P1","New","Medium","Implemented as a decision page distinguishing withdrawal management from continuing rehabilitation without absolute rules or IRN medical-provider claims.","Phase 2","Decision resource","Detox","Branch-ready","2026-08-28","Yes","Yes","","","","","Deploy and monitor comparison queries and assisted treatment-placement enquiries.","Detox vs Rehab: Differences and UK Options | IRN","Compare detox and rehab, when each is needed, how settings differ and what to check before choosing a UK withdrawal or residential service.","https://www.insightrecoverynetwork.com/resources/detox-vs-rehab","index, follow","Detox vs Rehab: What Is the Difference?","ProfessionalService, WebSite, Article, Person, Organization, ImageObject, WebPage, MedicalWebPage, MedicalAudience, FAQPage, BreadcrumbList","Implemented: detox-vs-rehab-uk-hero.webp (1600x900 WebP; 96 KB)","Not required - comparison table and page modules carry the explanation","Complete - brief 5; supplied hero accepted","Implemented: literal treatment-setting ALT text","Implemented: detox-vs-rehab-uk-og.webp (1200x630; 60 KB)"
"Cocaine Rehab Cost UK: What Changes the Price?","/resources/cocaine-rehab-cost-uk","cocaine rehab cost UK","cocaine treatment cost; private cocaine rehab; online cocaine recovery cost","Commercial investigation","Consideration","/resources/cocaine-addiction","/cocaine-addiction-treatment; /how-much-does-rehab-cost-uk","Cocaine pillar and treatment page; cost hub","Cocaine treatment enquiry","P2","New","Medium","Publish only with verified ranges or explain cost drivers without invented figures.","Phase 3","Decision resource","Cocaine cost","Planned","","No","No","","","","","Publish only with verified ranges or explain cost drivers without invented figures.","","","","","","","","","","",""
"Home Detox Cost UK: What a Safe Plan May Include","/resources/home-detox-cost-uk","home detox cost UK","community detox cost; medical detox fees; alcohol home detox cost","Commercial investigation","Decision","/resources/home-detox-safety","/resources/addiction-detox-uk; /assessments/detox","Detox hub; safety page; assessments","Medical-provider navigation","P2","New","High","Only publish with verified provider/NHS distinctions and no suggestion that IRN prescribes or supervises detox.","Phase 3","Decision resource","Detox cost","Planned","","No","No","","","","","Only publish with verified provider/NHS distinctions and no suggestion that IRN prescribes or supervises detox.","","","","","","","","","","",""
"UK vs Overseas Rehab Cost","/resources/uk-vs-overseas-rehab-cost","UK vs overseas rehab cost","rehab abroad cost; treatment length; flights; aftercare; total cost","Commercial investigation","Decision","/how-much-does-rehab-cost-uk","/destination-rehab; all country pages; /private-rehab-uk","Cost hub; international and UK pages","International placement enquiry","P1","New","Medium","Compare total pathway cost, not headline fees; include travel, medication, extensions and return-home care.","Phase 3","Decision resource","International cost","Planned","","No","No","","","","","Compare total pathway cost, not headline fees; include travel, medication, extensions and return-home care.","","","","","","","","","","",""
"Inpatient vs Outpatient Addiction Treatment","/resources/inpatient-vs-outpatient-addiction-treatment","inpatient vs outpatient addiction treatment","residential vs outpatient rehab; online recovery; level of care","Comparison","Consideration","Treatment decisions","/private-rehab-uk; /online-programme; /assessments","Residential and online pillars; treatment pages","Suitable-treatment enquiry","P1","New","Medium","Use assessment factors rather than a generic pros/cons list.","Phase 4","Decision resource","Treatment comparison","Planned","","No","No","","","","","Use assessment factors rather than a generic pros/cons list.","","","","","","","","","","",""
"28-Day vs 90-Day Rehab: How Duration Is Decided","/resources/28-day-vs-90-day-rehab","28 day vs 90 day rehab","rehab length; long-term rehab; treatment duration; cost","Comparison","Consideration","/resources/what-happens-in-residential-rehabilitation","/private-rehab-uk; /how-much-does-rehab-cost-uk; destination pages","Residential pillar; cost and destination pages","Treatment placement enquiry","P2","New","Medium","Do not imply a universal optimum; explain assessment, progress and aftercare.","Phase 4","Decision resource","Treatment comparison","Planned","","No","No","","","","","Do not imply a universal optimum; explain assessment, progress and aftercare.","","","","","","","","","","",""
"When Is Outpatient Addiction Treatment Appropriate?","/resources/when-outpatient-addiction-treatment-is-appropriate","when is outpatient addiction treatment appropriate","online recovery suitability; community treatment; residential indications","Decision support","Consideration","Treatment decisions","/online-programme; /private-rehab-alternative-uk; /assessments","Online pillar; treatment pages","Online or placement enquiry","P2","New","Medium","Include situations where outpatient care is not safe or sufficient.","Phase 4","Decision resource","Treatment comparison","Planned","","No","No","","","","","Include situations where outpatient care is not safe or sufficient.","","","","","","","","","","",""
"How Quickly Can Someone Enter Private Rehab?","/resources/how-quickly-can-someone-enter-rehab","how quickly can someone enter rehab","urgent rehab admission; same-day rehab; treatment assessment; detox placement","Transactional information","Decision","Treatment decisions","/treatment-placement; /get-help; /assessments/detox","Treatment hub; family/intervention page; substance pages","Urgent non-emergency placement enquiry","P1","New","Medium","Clarify that speed depends on assessment, medical stability, provider capacity, travel and payment; emergencies use 999/A&E.","Phase 4","Decision resource","Admission","Planned","","No","No","","","","","Clarify that speed depends on assessment, medical stability, provider capacity, travel and payment; emergencies use 999/A&E.","","","","","","","","","","",""
"UK Rehab vs Overseas Rehab","/resources/uk-rehab-vs-overseas-rehab","UK rehab vs overseas rehab","rehab abroad; treatment travel; family involvement; aftercare","Comparison","Decision","International placement","/private-rehab-uk; /destination-rehab; /resources/uk-vs-overseas-rehab-cost","Country pages; cost page; treatment hub","International placement enquiry","P1","New","Medium","Compare clinical fit, travel, family access, cost and return-home plan without tourism framing.","Phase 4","Decision resource","International comparison","Planned","","No","No","","","","","Compare clinical fit, travel, family access, cost and return-home plan without tourism framing.","","","","","","","","","","",""
"Addiction Treatment and Rehab Guidance in London","/addiction-help-london","rehab London","drug rehab London; alcohol rehab London; private rehab London; addiction treatment London","Local commercial","Decision","UK location hub","/treatment-placement; /private-rehab-uk; /online-programme; relevant NHS/community pathways","Future UK locations hub; treatment pages; relevant authority articles","Assessment or treatment placement enquiry","P1","New","High","Publish only with genuinely London-specific public pathways, travel considerations and admission context; no city-name substitution.","Phase 5","UK location page","London","Planned","","No","No","","","","","Publish only with genuinely London-specific public pathways, travel considerations and admission context; no city-name substitution.","","","","","","","","","","",""
"Addiction Treatment and Rehab Guidance in Manchester","/addiction-help-manchester","rehab Manchester","drug rehab Manchester; alcohol rehab Manchester; private rehab Manchester; addiction treatment Manchester","Local commercial","Decision","UK location hub","/treatment-placement; /private-rehab-uk; /online-programme; relevant NHS/community pathways","Future UK locations hub; treatment pages; relevant authority articles","Assessment or treatment placement enquiry","P1","New","High","Publish only with genuinely Manchester-specific public pathways, travel considerations and admission context; no city-name substitution.","Phase 5","UK location page","Manchester","Planned","","No","No","","","","","Publish only with genuinely Manchester-specific public pathways, travel considerations and admission context; no city-name substitution.","","","","","","","","","","",""
"Addiction Treatment and Rehab Guidance in Birmingham","/addiction-help-birmingham","rehab Birmingham","drug rehab Birmingham; alcohol rehab Birmingham; private rehab Birmingham; addiction treatment Birmingham","Local commercial","Decision","UK location hub","/treatment-placement; /private-rehab-uk; /online-programme; relevant NHS/community pathways","Future UK locations hub; treatment pages; relevant authority articles","Assessment or treatment placement enquiry","P1","New","High","Publish only with genuinely Birmingham-specific public pathways, travel considerations and admission context; no city-name substitution.","Phase 5","UK location page","Birmingham","Planned","","No","No","","","","","Publish only with genuinely Birmingham-specific public pathways, travel considerations and admission context; no city-name substitution.","","","","","","","","","","",""
"Addiction Treatment and Rehab Guidance in Liverpool","/addiction-help-liverpool","rehab Liverpool","drug rehab Liverpool; alcohol rehab Liverpool; private rehab Liverpool; addiction treatment Liverpool","Local commercial","Decision","UK location hub","/treatment-placement; /private-rehab-uk; /online-programme; relevant NHS/community pathways","Future UK locations hub; treatment pages; relevant authority articles","Assessment or treatment placement enquiry","P2","New","High","Publish only with genuinely Liverpool-specific public pathways, travel considerations and admission context; no city-name substitution.","Phase 5","UK location page","Liverpool","Planned","","No","No","","","","","Publish only with genuinely Liverpool-specific public pathways, travel considerations and admission context; no city-name substitution.","","","","","","","","","","",""
"Addiction Treatment and Rehab Guidance in Leeds","/addiction-help-leeds","rehab Leeds","drug rehab Leeds; alcohol rehab Leeds; private rehab Leeds; addiction treatment Leeds","Local commercial","Decision","UK location hub","/treatment-placement; /private-rehab-uk; /online-programme; relevant NHS/community pathways","Future UK locations hub; treatment pages; relevant authority articles","Assessment or treatment placement enquiry","P2","New","High","Publish only with genuinely Leeds-specific public pathways, travel considerations and admission context; no city-name substitution.","Phase 5","UK location page","Leeds","Planned","","No","No","","","","","Publish only with genuinely Leeds-specific public pathways, travel considerations and admission context; no city-name substitution.","","","","","","","","","","",""
"Addiction Treatment and Rehab Guidance in Bristol","/addiction-help-bristol","rehab Bristol","drug rehab Bristol; alcohol rehab Bristol; private rehab Bristol; addiction treatment Bristol","Local commercial","Decision","UK location hub","/treatment-placement; /private-rehab-uk; /online-programme; relevant NHS/community pathways","Future UK locations hub; treatment pages; relevant authority articles","Assessment or treatment placement enquiry","P2","New","High","Publish only with genuinely Bristol-specific public pathways, travel considerations and admission context; no city-name substitution.","Phase 5","UK location page","Bristol","Planned","","No","No","","","","","Publish only with genuinely Bristol-specific public pathways, travel considerations and admission context; no city-name substitution.","","","","","","","","","","",""
"Addiction Treatment and Rehab Guidance in Sheffield","/addiction-help-sheffield","rehab Sheffield","drug rehab Sheffield; alcohol rehab Sheffield; private rehab Sheffield; addiction treatment Sheffield","Local commercial","Decision","UK location hub","/treatment-placement; /private-rehab-uk; /online-programme; relevant NHS/community pathways","Future UK locations hub; treatment pages; relevant authority articles","Assessment or treatment placement enquiry","P2","New","High","Publish only with genuinely Sheffield-specific public pathways, travel considerations and admission context; no city-name substitution.","Phase 5","UK location page","Sheffield","Planned","","No","No","","","","","Publish only with genuinely Sheffield-specific public pathways, travel considerations and admission context; no city-name substitution.","","","","","","","","","","",""
"Addiction Treatment and Rehab Guidance in Nottingham","/addiction-help-nottingham","rehab Nottingham","drug rehab Nottingham; alcohol rehab Nottingham; private rehab Nottingham; addiction treatment Nottingham","Local commercial","Decision","UK location hub","/treatment-placement; /private-rehab-uk; /online-programme; relevant NHS/community pathways","Future UK locations hub; treatment pages; relevant authority articles","Assessment or treatment placement enquiry","P2","New","High","Publish only with genuinely Nottingham-specific public pathways, travel considerations and admission context; no city-name substitution.","Phase 5","UK location page","Nottingham","Planned","","No","No","","","","","Publish only with genuinely Nottingham-specific public pathways, travel considerations and admission context; no city-name substitution.","","","","","","","","","","",""
"Addiction Treatment and Rehab Guidance in Newcastle","/addiction-help-newcastle","rehab Newcastle","drug rehab Newcastle; alcohol rehab Newcastle; private rehab Newcastle; addiction treatment Newcastle","Local commercial","Decision","UK location hub","/treatment-placement; /private-rehab-uk; /online-programme; relevant NHS/community pathways","Future UK locations hub; treatment pages; relevant authority articles","Assessment or treatment placement enquiry","P3","New","High","Publish only with genuinely Newcastle-specific public pathways, travel considerations and admission context; no city-name substitution.","Phase 5","UK location page","Newcastle","Planned","","No","No","","","","","Publish only with genuinely Newcastle-specific public pathways, travel considerations and admission context; no city-name substitution.","","","","","","","","","","",""
